"时间戳记","Gender","Age","Education","Income","Technical experience","Perceived enjoyment (Your attitude or belief concerning the use of vacuum cleaner robot) [I would feel enjoyable while using vacuum cleaner robot.]","Perceived enjoyment (Your attitude or belief concerning the use of vacuum cleaner robot) [I enjoy using vacuum cleaner robot more than traditional cleaning tools.]","Perceived enjoyment (Your attitude or belief concerning the use of vacuum cleaner robot) [Using vacuum cleaner robot could brings me extra psychological satisfaction.]","Social influence (Friends' opinions or user feedback on the product) [If I use vacuum cleaner robot, I can provide better experience and suggestions to my friends and family.]","Social influence (Friends' opinions or user feedback on the product) [People around me think it is a good idea for me to use vacuum cleaner robot.]","Social influence (Friends' opinions or user feedback on the product) [People around me have encouraged me to use vacuum cleaner robot.]","Perceived risk [There would be some potential risks to children or pets when using the vacuum cleaner robot.]","Perceived risk [Using the vacuum cleaner robot would not fit in well with my personal values or self-image.]","Perceived risk [Vacuum cleaner robot may misuse my data.]","Trust [I feel confident that I can rely on the benefits provided by the vacuum cleaner robot.]","Trust [As I understand it, vacuum cleaner robot provide very good functionalities.]","Trust [I believe that I can trust in the adequate functioning of the vacuum cleaner robot.]","Technology Anxiety （Technical difficulties lead to anxiety） [Using vacuum cleaner robot would make me very nervous.]","Technology Anxiety （Technical difficulties lead to anxiety） [Using vacuum cleaner robot make me worried.]","Technology Anxiety （Technical difficulties lead to anxiety） [Using vacuum cleaner robot may make me feel uncomfortable.]","Behavioral Intention  [I have a high intention to use vacuum cleaner robot.]","Behavioral Intention  [I plan to use vacuum cleaner robot to manage room cleaning.]","Behavioral Intention  [I have money, knowledge, and ability to use vacuum cleaner robot.]","Attitude （Your attitude towards the use of vacuum cleaner robots） [Using vacuum cleaner robot is a good idea.]","Attitude （Your attitude towards the use of vacuum cleaner robots） [Using vacuum cleaner robot will promote me to manage room cleaning more actively.]","Attitude （Your attitude towards the use of vacuum cleaner robots） [I like the idea of using vacuum cleaner robot.]","Perceived Ease of Use [Learning to use vacuum cleaner robot would be easy for me.]","Perceived Ease of Use [It would be easy for me to become skillful at using vacuum cleaner robot.]","Perceived Ease of Use [Interacting with the vacuum cleaner robot would not require a lot of my mental effort.]","Perceived Usefulness [Using vacuum cleaner robot would enhance my effectiveness in room cleaning.]","Perceived Usefulness [I would find vacuum cleaner robot useful in the healthcare.]","Perceived Usefulness [I think that vacuum cleaner robot are useful for my life.]","","",""
"2022/05/11 6:15:36 下午 GMT+2","Male","18 - 40","Master and above","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Neutral","","","","Agree","Neutral","Neutral","Neutral","Agree","Agree"
"2022/05/11 6:44:57 下午 GMT+2","Female","18 - 40","College students","<2000 PLN","I have not used home service machines.","Agree","Strongly agree","Strongly agree","Agree","Neutral","Disagree","Agree","Disagree","Neutral","Neutral","Agree","Neutral","Disagree","Strongly disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","","","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree"
"2022/05/11 6:56:00 下午 GMT+2","Female","18 - 40","Master and above",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","","","","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree"
"2022/05/11 7:08:57 下午 GMT+2","Male","18 - 40","College student","","I have not used home service machines.","Strongly agree","Agree","Neutral","Strongly agree","Strongly agree","Neutral","Strongly agree","Neutral","Disagree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","","","","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree"
"2022/05/11 7:16:53 下午 GMT+2","Female","18 - 40","College student","<2000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","","",""
"2022/05/11 8:27:16 下午 GMT+2","Female","18 - 40","Master and above",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Disagree","Neutral","Agree","Strongly agree","Neutral","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","","",""
"2022/05/11 9:25:03 下午 GMT+2","Male","18 - 40","Master and above","<2000 PLN","I have not used home service machines.","Agree","Neutral","Agree","Agree","Neutral","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","","",""
"2022/05/12 3:00:59 下午 GMT+2","Female","18 - 40","Master and above",">5000 PLN","I have not used home service machines.","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Disagree","Neutral","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Agree","Neutral","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","","",""
"2022/05/12 3:08:03 下午 GMT+2","Male","18 - 40","Master and above","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Disagree","","",""
"2022/05/12 3:32:20 下午 GMT+2","Male","18 - 40","College student","<2000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Disagree","Neutral","Disagree","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","","",""
